mesh 1_z,z mid [cm],"(n,p) [rxns]",flux*V [trks-cm],"(n,p) sd",flux*V sd,"(n,p) macro-xs [1/cm]","(n,p) micro-xs [b]","(n,p) mode [eV]",flux mode [eV]
139,1.385,2.6652356894211973e-05,6.165396499789647e-06,3.688656218538912e-08,8.417190118158197e-09,4.322894220204866,2596.9902223706945,0.0840611875,0.0957709375
140,1.395,2.5486935982282148e-05,5.905692790377959e-06,3.479030960692466e-08,8.017574702997148e-09,4.315655569454537,2592.6415836429883,0.0840611875,0.0957709375
141,1.405,2.4366901673338648e-05,5.656105100966536e-06,3.555996019169155e-08,8.13594685982848e-09,4.30807087887648,2588.0850605666524,0.0840611875,0.0957709375
142,1.415,2.3299023046147515e-05,5.417548209988183e-06,3.620247429842871e-08,8.223093884354586e-09,4.300658183934894,2583.6318643272584,0.09824256249999999,0.09824256249999999
143,1.425,2.2281158959156824e-05,5.189826217974552e-06,3.652215445483724e-08,8.284828258459153e-09,4.293237966617802,2579.174149000733,0.09824256249999999,0.09824256249999999
144,1.435,2.1311165143675796e-05,4.972371467432764e-06,3.639911835521769e-08,8.173925136093867e-09,4.28591574126274,2574.775302606525,0.0957709375,0.0957709375
145,1.445,2.038420941081901e-05,4.7642442538214834e-06,3.6905177344859855e-08,8.204926835993781e-09,4.278581937621792,2570.369500526217,0.0957709375,0.0957709375
146,1.455,1.9491493707362163e-05,4.563271021327061e-06,3.6510393107234586e-08,8.084695614974409e-09,4.271386384079763,2566.046752561242,0.0957709375,0.0957709375
147,1.465,1.8637821701407106e-05,4.370649869682041e-06,3.412384801192104e-08,7.407597479553933e-09,4.2643136048697,2561.7977616033622,0.06546793749999999,0.06546793749999999
148,1.475,1.783205589664404e-05,4.1884343915951545e-06,3.408093867131101e-08,7.370440653432852e-09,4.257451407721048,2557.6752783800316,0.0957709375,0.0957709375
149,1.485,1.705524782330937e-05,4.012624564051408e-06,3.2465415248593175e-08,7.191719195676874e-09,4.250397103208997,2553.437386146214,0.0957709375,0.0957709375
150,1.495,1.632809245699689e-05,3.84778779598341e-06,2.9665563037182555e-08,6.556438921212502e-09,4.243501285086795,2549.29470503343,0.0592766875,0.0984863125
151,1.505,1.562184417008108e-05,3.687721032651916e-06,2.7726849176064582e-08,6.2656434431311875e-09,4.236178396294551,2544.895460077567,0.0957709375,0.09824256249999999
152,1.515,1.4946977850072665e-05,3.5337131311065106e-06,2.7494755468093082e-08,6.260749193933601e-09,4.229822086715998,2541.0768901600545,0.0360668125,0.09824256249999999
153,1.525,1.4308277023077479e-05,3.3881713411915393e-06,2.717891517359405e-08,6.1908791421259e-09,4.223008691775782,2536.9837249934885,0.09824256249999999,0.09824256249999999
